number,task,duration,equipment,kinks,intensity
248,Sort your socks by color. Then again by material.  Then again by length. Then pair them with matching underwear.  Then sort them again.,,,,
249,Bleach a strand of hair,,,,
250,Watch the first movie you find that someone recommended in ⁠🎵┃music or ⁠📁┃misc-media - even if you don't think you will like the movie - and especially if you think you will hate it!   You might learn something.,,,,
251,Ask ChatGPT for a task.,,,,
252,Ask ChatGPT how much time you should add to your sentence. (you may need to be creative to dodge the NSFW-filtering of chatGPT),,,,
253,Ask ChatGPT how much other tasks from this list you should do. (you may need to be creative to dodge the NSFW-filtering of chatGPT),,,,
254,Freeze your lock until you get to the top of the mountain in Getting Over It,,,,
255,generate a number between 1 and the number of tasks in this channel. Do that task,,,,
256,Order a pizza with your NSFW email and whatever name is attached to it.,,,,
257,"Write down something you really don't want to have others, including your keyholder, to know about you. Your deepest darkest sexy secret. Write it down in this website https://pastebin.com/ 

Use settings Paste Expiration one month or longer, and enable password protection. Set a password you will remember and create the paste then send paste link to your keyholder for safe keeping. It would be a shame if they got the password somehow",,,,
258,You may not edit discord messages to fix typos/grammar/spelling for the next 24 hours,,,,
259,You may not delete discord messages for the next 24 hours,,,,
260,"Start a stereotypically difficult videogame (eg Dark Souls, Arma, some survival sandbox games) that you have little to no experience with. Play until you beat the first major milestone (e.g. first non-tutorial boss, first mission, etc)",,,,
261,Talk in 3rd person for 24h,,,,
262,"Sub can offer services etc in exchange for time out of frilly panties
262 a)  For example, sub can earn 1 day in boy panties by being caged for 1 week",,,,
263,You may not point out typos/grammar/spelling in others Discord messages for the next 24 hours.,,,,
264,Your next 3 showers are with cold water,,,,
265,Your next 2 showers are with clothes still on,,,,
266,Learn to sing a song and record your best attempt at performing it and post it in ⁠📋┃task-verification,,,,
267,"Paint your face in some unusual way and leave it for at least 4 hours (it could be actual facepaint, lipstick on your cheeks, biro, anything skin safe)",,,,
268,"If you're currently doing any kind of punishment/penalty. Restart it. If not, roll again.",,,,
269,bad luck : roll 5 more task on this list.,,,,
270,write out all the current tasks in this channel,,,,
271,Write a list of 100 reasons you're a good person,,,,
272,Banned from using emotes or emojis for 48 hours.,,,,
273,"Type ""haha"" after every single sentence you write in this server, for 7 days. (edited)",,,,
274,"At the next opportunity get out of bed and go to your bathroom. Say to the mirror ""I am a handsome tiger"".",,,,
275,"Do a photo shoot where you start in normal clothes, but each picture is increasingly sluttier than the last, until in the last picture you're a complete slut",,,,
276,"At some point, interrupt a random conversation on Chaster with the following sentences in separate messages but immediate succession (the more random this is the better):

For the record I've been penetrated many many times before
Wanted to make that clear
Like more times than I can count (edited)",,,,
277,"Finish every sentence with the word ""pussy"" for 2 days",,,,
278,Ask for a Gartic Phone topic during games night and use one of the results as a PFP for 72 hours.,,,,
279,Write a paragraph (5-8 sentences) on how you can be an (even) better sub/switch. Post it in task-verifications using a bunch of 'bottom emojis' to sweetened it up.,,,,
280,Come up with a list of ten things that need to be improved in order for you to be (more) fulfilled in the long-term and post it in task verifications. (edited),,,,
281,Tell @Dee! hes a rat like the fucking rat he is (edited),,,,
282,"Say 5 nice things about your keyholder, and ask them to do the same for you",,,,
283,"for the next 24h, all your discord message should contain at least one Dee puns (ex: Deelicious)",,,,
284,Tie/Cuff hands (behind back) and feet and kneel on lego pieces for fifteen minutes.,,,,
285,"Load the last porn video you watched that was at least 5 minutes long. Write a detailed transcript of it, including not just spoken dialogue and scene changes, but also broad ""stage directions"" and all vocalisations made by any performers. Post in ⁠📋┃task-verification",,,,
286,Find a still image from a porn video that you really like. Photoshop yourself (can be your Chaster profile image) into it.,,,,
287,Record an MP3 (or similar audio file) of any noises you make during an edge/ruin and post it in task verification with a short description of the task (so people aren't caught unawares).,,,,
288,"Write a review of porn video you really like. Assess the strengths and weaknesses in detail, and give it a score at the end. 1 page minimum. Post in ⁠📋┃task-verification",,,,
289,"Get two lines from your keyholder with the same number of words. Go on voice chat, and handwrite one 30 times, while saying the other out loud at the same time. If you make a mistake, start over.",,,,
290,"Read an erotic story of your/your keyholder's choice and write a review on it. Go into detail and give it a score at the end. 1 page minimum. Post in ⁠📋┃task-verification 
(just combining Dee's idea in 288 with @❤Nami's beta girl❤ reviews from yesterday)",,,,
291,"Find out how many spanks you can give yourself before you physically can't take any anymore (either because the pain is too much or it's making you edge). If applicable, report this number to your keyholder.",,,,
292,"For the next 24 hours (0.071 fortnights): 
- Only use fortnights as a unit when referring to time
- Only use Kelvin when referring to temperature
- Only use Newtons when referring to mass (assuming Earth gravity)
- Only use furlongs when referring to length
- Only use cubic inches when referring to volume (edited)",,,,
293,"do the next task 5 times,  roll again.",,,,
294,"Do all the 292 first task Be ""healthy"" for the next 2 days : at least 2 ""real"" meal in the day (not junk food :p), only drinking water, try to do some form of exercise if possible (like 30mn walk), go to bed at a decent hour, sleep at least the number of hour you need for a good sleep (generally it's 7-8) etc...",,,,
295,Pair up all your socks and put them away neatly,,,,
296,"[if locked] -> write your keyholder a letter, 1 page long about anything relating to them {can be things like the kh themselves, a topic they like, etc}
          [If unlocked] -> write whoever you consider yourself closest to on the server a similar letter (edited)",,,,
297,"Roll a D6, and do the corresponding math problem:

Problem 1:
3x - 4 = 2x
Problem 2:
x + 2 = 2x - 1
Problem 3:
2x - 3 = x + 2
Problem 4:
(3x - 6)/x = 2
Problem 5:
-(2x - 2) = (x-4)
Problem 6:
(4x - 4) / (x + 2) = 8 / 3

Then roll a D20, multiply it by the “x” you solved for, and do that number’s task. 
(Every “x” is a whole number to make it easier, don’t cheat  )",,,,
298,discover how many calories are in all the food you eat for the next three days. You may need to weight the food before you eat it or check the box.,,,,
299,post a video of you complementing your pensis and telling it how much you love and appreciate it. (edited),,,,
300,"post a video of yourself singing ""I'm a little tea pot"" with all the motions. You may hide your face and any identification marks e.g. tattoos.",,,,
301,watch at least 20 minutes of your favourite porn. Sit on your hands and do not touch.,,,,
302,Write a dating profile (and post to verification channel) describing at least 5 things you love about yourself.,,,,
303,Rub a generous amount of chilli paste into your hands. Watch at least 20 minutes of your favourite porn... What you do with your hands is up to you,,,,
304,have a cold bath/ shower for at least 10 mins. Take before and after photos of your penis and post so we can see the difference.,,,,
305,Don't wear any underwear for the next three days.,,,,
306,"Try something new. It can be trying a new food, a place to eat, a new book, a different drink order, going to a new place. Anything that you haven't done before.",,,,
307,wear a suit or smartest outfit and go for a coffee somewhere. Send pictures of your outfit.,,,,
308,"research some gorean slave poses. Post pictures of yourself doing at least three of them, and name the pose.",,,,
309,"for the next three days, post a picture of everything you eat to the Nom channel.",,,,
310,"for the next week, each day write at least 5 things you are grateful for.",,,,
311,"On your body, write at least three things you are grateful for.",,,,
312,"make something creative such as a story, painting, photography, art, digital art, poem, music, anything and post it to the server in the relevant channel.",,,,
313,chain or tie yourself to your bed for at least 30 minutes. You are not allowed to use your phone or any other electronic devices in that time.,,,,
314,record yourself peeing on your own feet (in the shower or bath) and post the video,,,,
315,"stretch an elastic band against your thigh and ping it against your leg at least 10 times. (Warning, may bruise)",,,,
316,"for the next week, journal each day. At least one A5 page or half an A4 page. Just whatever comes to mind and write it down.",,,,
317,"for the next week, do yoga for at least 20 minutes per day. You can find plenty of videos to follow online.",,,,
318,"for the next 3 days, you must use all honorifics Keyholders use if it's in their name when talking to them",,,,
319,"For the next 5 days, you can no longer use gifs, emotes or reactions",,,,
320,"for the next 7 days, you become Yoda. Speak normally can't you no more (edited)",,,,
321,"For the next 24 hours, you must remove all vowels from the words you use.",,,,
322,"For the next week, you must repeat whatever you are responding to in your response before you can respond.",,,,
323,"For the next week, instead of using words like he, she, they, you, we, I, etc... You must always use the name of the person or people in question.",,,,
324,"For the next week, your discord has to be in Light mode",,,,
325,"For the next 3 days, You are banned from using any electronic device other then your phone",,,,
326,"For the next 3, You have to change your username on this server to ""Poopypants"" (edited)",,,,
327,"For the next 2 days, You can't wear socks of any kind",,,,
328,"For the next 24 hours, You must ask your KH if you can go to the toilet in the most begging way you can in public chat",,,,
329,"for the next 3 days, Space bar no longer exists on any device you can access Discord on. youliterallyhavetotypelikethis (edited)",,,,
330,"For the next week, you must wear socks and shoes to bed (edited)",,,,
331,"For the next 24 hours, You must compliment Dee as much as possible",,,,
332,"For the next 7 days, You must sleep with your head where you feet normally are and your feet where your head normally is.. so rotate 180 degrees. and no, you cannot take your pillow with you, Guess your feet will get cozy on that Pillow",,,,
333,"Triple digits ey. for the next 3 days, You must add ""This message was provided to you by <discordusername>"" on any message you send",,,,
334,"For the next 3 days, you must sleep under your bed if possible. If it is not possible, you must sleep on the floor",,,,
335,"For the next 7 days, You must send me goodnight wishes when you go to bed. tag me in the message",,,,
336,"For the next 2 weeks, you must say ""Im just a lil guy"" after every message (edited)",,,,
337,"for the entire month (or what is remaining of the month), your first message when entering chat must be the weather report of that day.",,,,
338,"For the next 30 days, you must always announce yourself with ""<discordusername> IS HERE"" as your first message (edited)",,,,
339,"for the next 10 days, you must watch the hit tv show ""between the lions"" and after the ten days you must give a summary of the show and give specific details from certain episodes. (edited)",,,,
340,"for the next 24 hours, you must listen to ""lift yourself"" by Kanye West and only that song whenever you play music. You must listen to it at least 20 times and must keep track of each time by telling your kh when you did. (edited)",,,,
341,"For the next week, you must wear all of your clothes inside out.",,,,
342,Censor one of your favorite lewd pictures of yourself on all devices/sites and send your KH the original.,,,,
343,"Take a cold shower, complete one edge whilst in it (water doesn't have to be the coldest it will go, just colder than you're comfortable with)",,,,
344,"There is no task. You don't have to re-roll, you don't have to ask for a task. There's nothing.",,,,
345,"you have to re-roll 5 more tasks. that's the task. and yes, you got to do them all.",,,,
346,"(internet capable toy specific task) Over the next 3 weeks, you must research and create a 10 minute presentation on your fav subject. If you have a lovense toy, it must be presented while the viewers play with it.",,,,
347,"For the next week, the only porn you can view is anything created by Chaster server members during a game of GarticPhone",,,,
348,"Send the following message to 5 people in your contacts (Swap $ for relevant currency symbol): ""Hey, sorry for the short notice, but I need to borrow $300""",,,,
349,Make a small donation to a charity.,,,,
350,"Put Lego bricks or small stones in your socks before putting on your shoes, Walk on that for 8 hours.",,,,
351,"Choose a task from something you don't like, make a task out of it. Example CBT = 25 Spanks to balls.",,,,
352,"You must stand for next 6 hours. You may walk and pace, but no sitting until the 6 hours are over.",,,,
353,"Put a suction cup dildo on a wall in a corner, now begin sucking, you'll spend the next 3 hours this way",,,,
354,Eat a cup of dog food from a dog bowl on the floor. < Do at your own risk heard this has risks >,,,,
355,"Whenever you have free time you will continue to write the following until it's been done 2500 Times. Extra Credit If you do 5000 or 10,000 Times.
"" I love my Chastity and I should wear it always."" (edited)",,,,
356,"Sleep naked for one night! If you already happen to sleep naked, sleep without a blanket. (edited)",,,,
357,"Spend 3 Hours with nose against wall holding a coin, keep track each time coin drops. That equals 25 Spanks per butt check.",,,,
358,"Plug task:
1. if you own a lovense toy, next time you shower, you will put it in and share the control link in the server
2. if you can't do 1, use your biggest plug and wear it for 24 hours the next day
3. if you can't do that, but own a Tail plug, wear it for most of the day and sleep with it",,,,
359,"Go for a walk in the woods and wet yourself, when you get home put wet panties in mouth and cage edge for 20 minz",,,,
360,Play along and post in every ⁠🎲┃minigames,,,,
361,"Summarise the ""story"" so far in ⁠Three Word Story",,,,
362,"Go on camera in the VC and spank self 500 times, make an announcement 3 hours before starting for people to watch.",,,,
363,"For the next 3 days speak only in 3rd person and use it/it's pronouns when talking about self.
Example ""Giggles is a Good Slave, It did all its tasks today""",,,,
364,"(Task for Trans and Sissies) This task can take a max of 6 weeks, roll a D6, for example so you get a 4. Then once a week for 4 weeks as Dx equals one week per number on dice, you must buy a female outfit and donate a buys outfit in it place, the point of this task is to slowly add more girls clothing than boys to your closet. When task is done flip a coin, heads play one more time, tails you can quit.
Warning you may run out of boys clothing and can't buy new ones until this task is done. (edited)",,,,
365,"Summarise pornhub's terms of service in ⁠📋┃task-verification 

(inspired by Bo Burnham)",,,,
366,"(lovens plug task) wear your plug and share the link in the server, only able to take it out after you bake a loaf of bread from scratch (including waiting for dough to rise) (edited)",,,,
367,"Go for a drive and obey all the traffic laws in Grand Theft Auto Five. Add a day for every law broken

(Also inspired by Bo Burnham) (edited)",,,,
368,"You must wear a hat every day for a week, except for instances where you would normally wear a hat.",,,,
369,"Go for a walk playing Pokémon Go with chastity a hush in, you have to spin 30 Pokémon Stops and catch 100 Pokémon before battery dies or add 10 days to your lock.",,,,
370,"Go out of your house for a walk, you have to gather at least 3 different leaf. If not possible because winter or I don't know, just walk for at least 20mn.",,,,
371,Change the language on your PC to a language you do not understand for 24 hours.,,,,
372,spend 30 minutes edging with the wand on your cage no cuming,,,,
373,Flip a coin if heads double your time or add 15 days < Whichever is less > if tails you are allowed something sweet for desert tonight.,,,,
374,"Change your discord name to ""Miss Krissy The Kitty Fox"" for 24 hours",,,,
375,Publicly convince @Ell 🔒Goddess Artemis to listen to a Nickelback song,,,,
376,Complete the most recently added task (edited),,,,
377,Suggest a new task and complete it,,,,
378,"0/20 Points, every day for 30 days roll a dice, if you get a 2 or 5 add a point, if you get 20 points in 30 days, perma lock, more fun if you play each month your locked.",,,,
379,"record yourself saying ""a little bottle of water' in your most british accent and add it to ⁠📋┃task-verification  or ⁠Soundboard Suggestions!",,,,
